Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
India,MtCO2e,341.19,384.84,403.9,428.96,463.51,515.48,551.7,596.9,613.9,678.94,715.45,957.22,989.13,1015.44,1089.33,1140.12,1218.86,1340.39,1428.03,1568.54,1663.64,1690.59,1843.28,1906.27,2080.94,2091.86,2159.66,2273.21,2422.58,2388.32,2165.2
United States,MtCO2e,4435.74,4398.72,4470.85,4586.28,4657.73,4708.19,4864.59,5134.42,5181.68,5200.25,5367.14,5356.69,5201.47,5267.44,5346.69,5361.85,5261.38,5344.56,5166.56,4764.57,5000.25,4764.69,4547.1,4683.03,4698.08,4581.54,4672.82,4597.65,4753.71,4596.26,4099.07
