Country,Year,Region,BirthRate,DeathRate,LifeExpectancy,PopulationGrowth,TotalPopulation,MobileCellSubs,TelephoneLines,AgriculturalLand,RuralPopulation,RuralPopulationGrowth,SurfaceArea,UrbanPopulationPercent
Mauritius,2005,Sub-Saharan Africa,15.6,6.9,72.27674797,0.861092603,1233386.0,547745.0,353808.0,48.27586207,717461,1.222843421,2040.0,41.83
Romania,2005,Europe & Central Asia,10.1,12.1,71.59427561,-0.569786273,21451748.0,10215388.0,4388000.0,61.43478261,10073097,-0.848383223,238390.0,53.043
Angola,2005,Sub-Saharan Africa,49.538,17.073,48.0035122,3.539726938,15976715.0,740000.0,94280.0,46.19395203,10320159,2.370028126,1246700.0,35.405
South Africa,2005,Sub-Saharan Africa,23.115,14.341,51.8737561,1.306274645,47019452.0,20839000.0,4903000.0,80.46229051,19281267,-0.018824792,1219090.0,58.993
St. Vincent and the Grenadines,2005,Latin America & Caribbean,18.289,7.431,71.04492683,0.19270227,108562.0,72000.0,19022.0,25.64102564,57936,-0.482127802,390.0,46.633
Fiji,2005,East Asia & Pacific,23.526,6.317,68.31768293,0.216474774,818995.0,142190.0,105000.0,23.42638205,413764,-0.560582004,18270.0,49.479
Austria,2005,Europe & Central Asia,9.7,9.1,79.1804878,0.620413127,8171966.0,7992000.0,3821000.0,39.56337174,2793341,0.602850031,83870.0,65.818
Mozambique,2005,Sub-Saharan Africa,44.307,16.532,47.73582927,2.805120295,20438827.0,708000.0,75256.0,62.12009461,14344378,2.547552001,799380.0,29.818
Uganda,2005,Sub-Saharan Africa,47.159,13.19,51.87136585,3.401301995,27766986.0,1165035.0,71568.0,66.3730544,24225307,3.090021664,241550.0,12.755
Japan,2005,East Asia & Pacific,8.693604565,8.050859795,82.0302439,0.033662258,127761000.0,91474000.0,59608000.0,12.93278464,19624090,-8.951359567,377910.0,84.64
Niger,2005,Sub-Saharan Africa,51.526,14.467,53.46378049,3.644662084,12708897.0,172421.0,24040.0,30.37183232,10600491,3.50209583,1267000.0,16.59
United States,2005,North America,14.0,8.34,77.33902439,0.925483969,292805298.0,184819000.0,177690711.0,44.91645856,59272576,0.069599392,9632030.0,79.757
Afghanistan,2005,South Asia,46.291,10.933,56.56973171,3.830078284,24018682.0,600000.0,31438.33333,58.12520123,18599587,3.411263351,652230.0,22.562
Kuwait,2005,Middle East & North Africa,21.401,3.137,73.66221951,3.715538086,2196466.0,1774567.0,496973.0,8.417508418,40151,2.898314171,17820.0,98.172
Panama,2005,Latin America & Caribbean,22.591,4.804,75.83656098,1.911080848,3303335.0,1259948.0,424811.0,30.17218187,1209780,1.111479042,75420.0,63.377
Mali,2005,Sub-Saharan Africa,48.213,16.181,51.033,3.09948092,11572936.0,406861.0,65834.0,32.56951786,7950607,2.009373172,1240190.0,31.3
Costa Rica,2005,Latin America & Caribbean,17.96,4.015,78.31417073,1.7865915,4246336.0,923084.0,1343193.0,35.6835096,1512333,-1.820164945,51100.0,64.385
Ireland,2005,Europe & Central Asia,15.2,7.0,78.53902439,1.828313818,4070262.0,3860000.0,2015000.0,62.49092757,1619883,1.134704859,70280.0,60.202
Pakistan,2005,South Asia,28.287,7.447,64.94082927,1.776167805,155151394.0,5022908.0,4502230.0,35.06382316,101791727,1.278991227,796100.0,34.392
Nigeria,2005,Sub-Saharan Africa,42.565,16.379,48.12565854,2.568833681,135999250.0,9147209.0,1027519.0,81.7989174,84031217,1.192961148,923770.0,38.212
